place,title,time,pay,date
전북 전주시, 농협 하나로클럽 전주점,시간협의,"시급10,000",3시간전
서울 강남구, 농협유통 하나로마트 양재점,시간협의,"시급9,320",4시간전
서울 강북구, 농협 하나로마트 미아점,09:00~06:00,"시급9,160",04/26
서울 강남구, 농협유통 대치점,08:00~16:00,"시급11,000",04/25
서울 강남구, 농협유통 하나로마트 양재점,시간협의,"시급9,320",04/24
서울 강동구, 하나로마트 고덕점,시간협의,"시급10,000",04/23
서울 강남구, 농협유통 양재점,시간협의,"시급10,000",04/23
서울 관악구, (주)농협유통 두레미담 서울대1호점,11:00~15:30,"시급9,160",04/22
경기 남양주, (주)농협유통 하나로마트 다산역점,시간협의,"시급11,490",04/21
서울 마포구, 농협 하나로마트 성산점,08:00~17:00,"시급9,160",04/18
서울 강동구, 농협유통 성내점,12:00~21:00,"시급9,160",04/16
경기 안성시, (주)농협유통 축산사업부,09:00~18:00,"시급9,160",04/15
경기 용인시, 농협 하나로마트 용인점,시간협의,"시급12,810",04/14
전국 전체, (주)농협유통,22:00~07:00,"시급13,740",04/11
