place,title,time,pay,date
충남 천안시, KFC 천안불당,시간협의,"시급9,160",14분전
강원 춘천시, KFC 춘천이마트,시간협의,"시급9,160",20분전
대구 수성구, KFC 범어네거리,시간협의,"시급9,160",25분전
경기 광명시, KFC 철산역,시간협의,"시급9,160",29분전
대구 수성구, KFC 범어네거리,시간협의,"시급9,160",30분전
울산 남구, KFC 울산현대,시간협의,"시급9,160",30분전
서울 중구, KFC 충무로역,시간협의,"시급9,160",41분전
경기 구리시, KFC 구리돌다리,시간협의,"시급9,160",53분전
경북 경산시, KFC 영남대,10:00~00:30,"시급9,160",58분전
서울 전체, KFC 일원동,시간협의,"시급9,160",1시간전
서울 노원구, KFC 중계은행사거리,시간협의,"시급9,160",1시간전
서울 전체, KFC 일원동,시간협의,"시급9,160",1시간전
경기 하남시, KFC 미사역,시간협의,"시급9,160",1시간전
대전 서구, KFC 대전시청역,시간협의,"시급9,160",1시간전
대전 서구, KFC 대전시청역,시간협의,"시급9,160",1시간전
대전 서구, KFC 대전시청역,시간협의,"시급9,160",1시간전
충북 청주시, KFC 청주사창사거리,시간협의,"시급9,160",2시간전
경기 하남시, KFC 미사역,시간협의,"시급9,160",2시간전
경기 남양주, KFC 덕소,시간협의,"시급9,160",2시간전
경기 하남시, KFC 미사역,시간협의,"시급9,160",2시간전
서울 강서구, KFC 화곡역,시간협의,"시급9,160",2시간전
경기 하남시, KFC 하남시청,시간협의,"시급9,160",2시간전
충북 청주시, KFC 청주메가폴리스,시간협의,"시급9,160",2시간전
대전 서구, KFC 대전시청역,시간협의,"시급9,160",2시간전
대전 서구, KFC 대전시청역,시간협의,"시급9,160",2시간전
경기 광명시, KFC 철산역,시간협의,"시급9,160",2시간전
서울 강동구, KFC 천호역,시간협의,"시급9,160",2시간전
경기 하남시, KFC 하남시청,시간협의,"시급9,160",2시간전
경기 광명시, KFC 철산역,시간협의,"시급9,160",3시간전
서울 중랑구, KFC 망우동,시간협의,"시급9,160",3시간전
서울 동대문, KFC 청량리역사,시간협의,"시급9,160",3시간전
강원 춘천시, KFC 춘천석사,시간협의,"시급9,160",3시간전
강원 춘천시, KFC 춘천석사,시간협의,"시급9,160",3시간전
서울 중랑구, KFC 망우동,시간협의,"시급9,160",3시간전
경기 김포시, KFC 김포한강,17:00~23:00,"시급9,160",3시간전
인천 중구, KFC 인천공항교통센터,15:00~21:30,"시급9,160",3시간전
경북 포항시, KFC 포항양덕DT,09:30~17:00,"시급9,160",3시간전
서울 중랑구, KFC 사가정,시간협의,"시급9,160",3시간전
서울 중랑구, KFC 사가정,시간협의,"시급9,160",3시간전
경기 광명시, KFC 철산역,시간협의,"시급9,160",3시간전
서울 금천구, KFC 독산동,시간협의,"시급9,160",3시간전
서울 서초구, KFC 강남고속터미널,17:00~01:00,"시급9,160",3시간전
서울 영등포, KFC 동여의도,시간협의,"시급9,160",3시간전
경기 파주시, KFC 야당역,17:00~01:00,"시급9,160",3시간전
경기 평택시, KFC 평택,시간협의,"시급9,160",3시간전
서울 종로구, KFC 광화문,17:00~23:00,"시급9,160",3시간전
서울 노원구, KFC 중계은행사거리,시간협의,"시급9,160",3시간전
경기 군포시, KFC 산본역,시간협의,"시급9,160",3시간전
부산 수영구, KFC 경성대,시간협의,"시급9,160",3시간전
광주 광산구, KFC 광주수완,시간협의,"시급9,160",4시간전
