place,title,time,pay,date
대전 대덕구, 크라운호프 대전송촌점,20:00~23:00,"시급9,160",2분전
울산 북구, 크라운호프 울산호계,시간협의,"시급9,500",13분전
경기 부천시, 크라운호프 송내영화의거리,시간협의,"시급10,000",31분전
전남 나주시, 크라운호프 나주혁신점,20:00~00:00,"시급9,500",34분전
울산 중구, 크라운호프 우정혁신점,20:00~24:00,"시급9,160",36분전
전북 전주시, 크라운호프 전주삼천점,21:00~03:00,"시급9,500",41분전
경북 구미시, 크라운호프 구미문성점,18:00~24:00,"시급9,160",43분전
부산 부산진, 크라운호프 부산당감점,시간협의,"시급10,000",44분전
경북 포항시, 크라운호프 포항문덕점,시간협의,"시급10,000",52분전
경북 포항시, 크라운호프 포항문덕점,시간협의,"시급10,000",53분전
전북 전주시, 크라운호프 전주평화2호점,시간협의,"시급9,300",1시간전
대구 달성군, 크라운호프 현풍테크노폴리스점,19:00~23:00,"시급11,000",1시간전
대구 달성군, 크라운호프 현풍테크노폴리스점,19:00~24:00,"시급11,000",1시간전
경기 부천시, 크라운호프 부천도당점,18:00~24:00,"시급9,500",2시간전
경기 화성시, 크라운호프 동탄북광장점,17:30~22:00,"시급10,500",2시간전
경기 고양시, 크라운호프 삼송역점,19:00~24:00,"시급10,000",2시간전
경남 진주시, 크라운호프 진주평거점,시간협의,"월급2,000,000",2시간전
경북 안동시, 크라운호프 경북도청호명,19:30~00:30,"시급9,400",2시간전
인천 서구, 크라운호프 청라점,19:00~02:00,"시급9,160",2시간전
경북 예천군, 크라운호프 경북도청호명,19:30~00:30,"시급9,400",2시간전
전북 전주시, 크라운호프 전주송천1가점,19:00~23:00,"시급9,160",2시간전
경북 경산시, 크라운호프 경산하양점,21:00~03:30,"시급9,160",3시간전
충북 제천시, 크라운호프 제천점,시간협의,"시급9,200",3시간전
울산 북구, 크라운호프 울산송정,20:00~23:00,"시급9,160",3시간전
부산 해운대, 크라운호프 부산센텀점,19:00~23:00,"시급10,000",3시간전
부산 해운대, 크라운호프 부산센텀점,19:00~23:00,"시급10,000",3시간전
부산 해운대, 크라운호프 부산센텀점,19:00~23:00,"시급10,000",3시간전
부산 해운대, 크라운호프 부산센텀점,19:00~23:00,"시급10,000",3시간전
부산 해운대, 크라운호프 부산센텀점,19:00~23:00,"시급10,000",3시간전
인천 미추홀, 크라운호프 인하대역,19:00~23:00,"시급9,160",3시간전
경북 경주시, 금복주류 경주용황점,시간협의,"시급9,500",3시간전
경북 경주시, 크라운호프 경주안강,시간협의,"시급9,600",3시간전
경북 경주시, 크라운호프 경주동천점,시간협의,"시급9,500",3시간전
전남 여수시, 크라운호프 여수죽림점,시간협의,"시급9,500",3시간전
제주 제주시, 크라운호프 연동점,20:00~01:00,"시급10,000",3시간전
서울 은평구, 경성주막1929 연신내점,19:00~05:00,"월급2,600,000",4시간전
경기 화성시, 크라운호프 향남2지구점,05:00~01:00,"시급12,000",4시간전
경기 화성시, 크라운호프 동탄북광장점,22:00~02:30,"시급11,000",4시간전
경기 김포시, 크라운호프 김포사우점,시간협의,"시급10,000",4시간전
전북 전주시, 크라운호프 전주안골점,시간협의,"시급9,500",4시간전
전북 전주시, 크라운호프 전주삼천점,21:00~03:00,"시급9,500",4시간전
인천 서구, 크라운호프 청라점,19:00~02:00,"시급9,160",4시간전
전북 전주시, 크라운호프 전주에코1호점,19:00~01:00,"시급9,160",4시간전
부산 동래구, 크라운호프 부산동래직영점,19:00~24:00,"시급9,200",4시간전
부산 동래구, 크라운호프 부산동래직영점,19:00~24:00,"시급9,200",4시간전
경남 진주시, 크라운호프 진주혁신점,21:00~23:00,"시급11,000",4시간전
전남 여수시, 크라운호프 여수죽림점,시간협의,"시급9,500",5시간전
인천 부평구, 크라운호프 삼산점,17:00~01:00,"시급12,000",5시간전
인천 서구, 크라운호프 가정루원시티점,18:00~22:00,"시급9,160",5시간전
인천 서구, 크라운호프 가정루원시티점,20:00~00:00,"시급9,160",5시간전
