place,title,time,pay,date
경기 고양시, 노랑푸드 노랑통닭 삼송점,18:00~22:30,"시급9,500",3분전
서울 구로구, 노랑푸드 노랑통닭 신도림점,18:00~22:00,"시급11,000",5분전
경기 평택시, 노랑푸드 노랑통닭 송탄점,시간협의,"월급2,600,000",5분전
경북 포항시, 노랑푸드 노랑통닭 두호우창점,18:00~23:00,"시급9,200",8분전
강원 춘천시, 노랑푸드 노랑통닭 남춘천점,18:00~23:00,"시급10,000",8분전
강원 춘천시, 노랑푸드 노랑통닭 남춘천점,19:00~02:00,"시급10,000",11분전
인천 연수구, 노랑푸드 노랑통닭 송도8공구점,시간협의,"시급9,160",17분전
인천 연수구, 노랑푸드 노랑통닭 송도8공구점,15:00~24:00,"시급10,000",19분전
인천 연수구, 노랑푸드 노랑통닭 송도8공구점,15:00~01:00,"월급2,600,000",20분전
경기 남양주, 노랑푸드 노랑통닭 다산신도시점,15:30~00:30,"월급2,100,000",25분전
경남 창원시, 노랑푸드 노랑통닭 창원중동점,18:00~22:00,"시급9,500",26분전
경기 화성시, 노랑푸드 노랑통닭 향남2지구점,16:00~24:00,"월급2,600,000",31분전
서울 강북구, 노랑푸드 노랑통닭 수유점,17:00~01:00,"시급9,500",32분전
서울 강남구, 노랑통닭 압구정점,시간협의,"시급12,000",37분전
경기 용인시, 노랑푸드 노랑통닭 동백점,17:30~22:00,"시급9,500",37분전
경기 양주시, 노랑통닭 옥정1호점,14:00~24:00,"월급2,500,000",47분전
서울 강북구, 노랑푸드 노랑통닭 미아점,18:00~24:00,"시급9,500",51분전
서울 강북구, 노랑푸드 노랑통닭 미아점,18:00~24:00,"시급9,500",51분전
서울 강북구, 노랑푸드 노랑통닭 미아점,15:30~01:30,"월급2,800,000",51분전
서울 구로구, 노랑푸드 노랑통닭 구디점,18:00~03:00,"월급2,500,000",54분전
서울 구로구, 노랑푸드 노랑통닭 구디점,16:00~03:00,"월급2,800,000",54분전
서울 광진구, 노랑통닭 건대점,18:00~22:00,"시급10,000",58분전
경기 수원시, 노랑푸드 노랑통닭 아주대점,16:30~02:30,"월급2,600,000",1시간전
경기 수원시, 노랑푸드 노랑통닭 아주대점,16:30~02:30,"월급2,600,000",1시간전
경기 수원시, 노랑푸드 노랑통닭 아주대점,16:30~02:30,"월급2,600,000",1시간전
경기 수원시, 노랑푸드 노랑통닭 아주대점,16:30~02:30,"월급2,600,000",1시간전
경기 수원시, 노랑푸드 노랑통닭 아주대점,16:30~02:30,"월급2,600,000",1시간전
경남 창원시, 노랑푸드 노랑통닭 창원중동점,18:00~22:00,"시급9,500",1시간전
경남 창원시, 노랑푸드 노랑통닭 창원중동점,18:00~22:00,"시급9,500",1시간전
경기 화성시, 노랑통닭 병점점,18:00~22:00,"시급9,160",1시간전
경기 화성시, 노랑통닭 병점점,18:00~22:00,"시급9,160",1시간전
경남 창원시, 노랑푸드 노랑통닭 창원중동점,18:00~22:00,"시급9,500",1시간전
서울 서초구, 노랑푸드 노랑통닭 교대점,18:00~23:00,"시급9,160",1시간전
서울 서초구, 노랑푸드 노랑통닭 교대점,18:00~23:00,"시급9,160",1시간전
경기 남양주, 노랑푸드 노랑통닭 다산신도시점,15:00~00:30,"월급2,600,000",1시간전
서울 서초구, 노랑푸드 노랑통닭 교대점,18:00~23:00,"시급9,160",1시간전
서울 서초구, 노랑푸드 노랑통닭 교대점,18:00~23:00,"시급9,160",1시간전
서울 강북구, 노랑푸드 노랑통닭 미아점,15:30~01:30,"월급2,800,000",1시간전
경기 안양시, 노랑푸드 노랑통닭 범계점,16:00~01:00,"월급2,600,000",1시간전
서울 서초구, 노랑푸드 노랑통닭 반포점,14:00~24:00,"월급2,700,000",1시간전
서울 서초구, 노랑푸드 노랑통닭 반포점,16:00~21:00,"시급9,500",1시간전
경기 양주시, 노랑통닭 옥정1호점,14:00~24:00,"월급2,500,000",2시간전
서울 강동구, 노랑푸드 노랑통닭 서울길동점,14:00~01:00,"월급2,800,000",2시간전
서울 강동구, 노랑푸드 노랑통닭 서울길동점,14:00~01:00,"월급2,800,000",2시간전
경기 용인시, 노랑푸드 노랑통닭 성복점,15:00~24:00,"월급2,800,000",2시간전
인천 연수구, 노랑푸드 노랑통닭 송도8공구점,15:00~01:00,"월급2,600,000",2시간전
인천 연수구, 노랑푸드 노랑통닭 송도8공구점,15:00~24:00,"시급10,000",2시간전
경기 용인시, 노랑푸드 노랑통닭 성복점,18:00~24:00,"시급12,000",2시간전
경기 평택시, 노랑푸드 노랑통닭 평택용이점,18:00~00:00,"시급10,000",2시간전
경기 부천시, 노랑푸드 노랑통닭 부천역점,17:00~03:00,"월급2,700,000",2시간전
