place,title,time,pay,date
충남 태안군, 다이소 태안터미널점,시간협의,"시급9,160",5분전
충남 서산시, 다이소 서산본점,12:00~18:00,"시급9,160",8분전
경기 성남시, 다이소 분당서현점,시간협의,"월급1,914,440",15분전
경기 안양시, 다이소 안양역점,시간협의,"월급1,914,440",15분전
경기 안양시, 다이소 안양역점,시간협의,"월급1,914,440",16분전
서울 은평구, 다이소 응암본점,시간협의,"시급9,160",16분전
서울 은평구, 다이소 응암본점,시간협의,"월급1,914,440",16분전
경기 안양시, 다이소 안양중앙점,10:00~16:00,"월급1,914,440",18분전
경기 안양시, 다이소 안양중앙점,10:00~16:00,"시급9,160",19분전
서울 마포구, 다이소 신촌본점,시간협의,"월급1,914,440",21분전
서울 마포구, 다이소 신촌본점,시간협의,"시급9,160",21분전
강원 춘천시, 다이소 춘천거두점,09:00~18:00,"월급1,914,440",21분전
경기 화성시, 다이소 동탄점,시간협의,"월급1,914,440",21분전
서울 광진구, 다이소 아차산역2호점,08:00~17:00,"월급1,914,440",30분전
서울 서대문, 다이소 홍제역(3호선)점,시간협의,"시급9,160",31분전
대전 동구, 다이소 대전가오점,시간협의,"시급9,160",32분전
대전 서구, 다이소 대전가수원점,시간협의,"시급9,160",32분전
대전 유성구, 다이소 대전유성온천역점,시간협의,"시급9,160",33분전
대전 중구, 다이소 대전문화점,시간협의,"시급9,160",34분전
대전 중구, 다이소 대전문화점,19:00~22:00,"시급9,160",34분전
대전 중구, 다이소 대전중앙로역점,시간협의,"시급9,160",35분전
부산 부산진, 다이소 부산서면2호점,10:00~16:00,"시급9,160",36분전
세종 조치원읍, 다이소 조치원점,09:00~15:00,"시급9,160",37분전
세종 조치원읍, 다이소 조치원점,09:30~12:30,"시급9,160",37분전
충남 공주시, 다이소 공주점,시간협의,"시급9,160",38분전
충남 논산시, 다이소 논산내동점,09:00~18:00,"월급1,914,440",39분전
충남 논산시, 다이소 논산내동점,16:00~22:00,"시급9,160",39분전
서울 관악구, 다이소 신림3호점,16:00~22:00,"시급9,160",40분전
서울 관악구, 다이소 신림3호점,10:00~19:00,"월급1,914,440",40분전
충남 태안군, 다이소 태안터미널점,시간협의,"월급1,914,440",40분전
경남 양산시, 다이소 양산남부시장점,09:00~18:00,"월급1,914,440",41분전
충남 서산시, 다이소 서산본점,09:00~15:00,"시급9,160",41분전
경남 김해시, 다이소 김해진영2호점,10:00~16:00,"시급9,160",42분전
충남 아산시, 다이소 아산모종점,09:00~15:00,"시급9,160",42분전
충남 아산시, 다이소 아산점,시간협의,"시급9,160",43분전
경북 포항시, 다이소 포항문덕본점,09:00~18:00,"월급1,914,440",43분전
대구 달서구, 다이소 영남 오픈리베로,09:00~18:00,"월급2,414,440",43분전
충남 천안시, 다이소 홈플러스 천안점,10:00~16:00,"시급9,160",43분전
충남 천안시, 다이소 천안중앙시장점,시간협의,"시급9,160",44분전
충남 천안시, 다이소 천안청수지구점,16:00~22:00,"시급9,160",45분전
충남 천안시, 다이소 천안청수지구점,시간협의,"시급9,160",46분전
서울 마포구, 다이소 합정동점,07:30~16:30,"월급1,914,440",46분전
충남 천안시, 다이소 천안청수지구점,09:00~18:00,"월급1,914,440",46분전
충남 천안시, 다이소 천안불당2호점,시간협의,"시급9,160",47분전
충남 천안시, 다이소 천안성정2호점,시간협의,"시급9,160",48분전
충남 천안시, 다이소 천안쌍용사거리점,시간협의,"시급9,160",49분전
경기 시흥시, 다이소 시흥정왕본점,08:00~14:00,"시급9,160",49분전
충남 홍성군, 다이소 내포신도시점,시간협의,"시급9,160",49분전
충북 음성군, 다이소 음성혁신도시점,시간협의,"시급9,160",51분전
충북 음성군, 다이소 음성혁신도시점,09:00~18:00,"월급1,914,440",51분전
