place,title,time,pay,date
경기 용인시, 도미노피자 동백점,11:30~21:00,"시급11,000",7분전
경기 용인시, 도미노피자 동백점,11:30~21:00,"시급11,000",7분전
경기 용인시, 도미노피자 동백점,11:30~21:00,"시급9,160",7분전
경기 용인시, 도미노피자 동백점,11:30~21:00,"시급9,160",7분전
경남 창원시, 도미노피자 마산교방점,시간협의,"시급11,000",10분전
서울 동대문, 도미노 피자 전농점,시간협의,"시급11,000",12분전
서울 동대문, 도미노 피자 전농점,시간협의,"시급11,000",12분전
서울 동대문, 도미노 피자 전농점,시간협의,"시급11,000",12분전
서울 동대문, 도미노 피자 전농점,시간협의,"시급11,000",12분전
서울 동대문, 도미노 피자 전농점,시간협의,"시급11,000",13분전
서울 용산구, 도미노피자 용산점,시간협의,"주급630,000",13분전
서울 동대문, 도미노피자 고대점,11:00~22:00,"시급10,500",14분전
서울 용산구, 도미노피자 용산점,시간협의,"주급630,000",15분전
서울 동대문, 도미노피자 고대점,11:00~22:00,"시급10,500",15분전
서울 용산구, 도미노피자 용산점,시간협의,"주급630,000",15분전
경기 용인시, 도미노피자 수지신봉점,시간협의,"시급9,160",16분전
경기 시흥시, 도미노피자 시화점,시간협의,"주급600,000",21분전
경기 시흥시, 도미노피자 시화점,시간협의,"주급600,000",21분전
경기 시흥시, 도미노피자 시화점,시간협의,"주급600,000",21분전
경기 시흥시, 도미노피자 시화점,시간협의,"주급600,000",21분전
경기 시흥시, 도미노피자 시화점,시간협의,"주급600,000",21분전
경기 수원시, 도미노피자 권선점,시간협의,"시급11,000",31분전
경기 수원시, 도미노피자 권선점,시간협의,"시급11,000",32분전
경기 용인시, 도미노피자 수지점,11:30~21:30,"주급750,000",32분전
서울 용산구, 도미노피자 이촌점,11:30~22:00,"주급600,000",33분전
인천 남동구, 도미노피자 서창점,11:00~22:00,"시급9,160",34분전
인천 남동구, 도미노피자 서창점,11:00~22:00,"시급9,160",34분전
서울 용산구, 도미노피자 이촌점,11:30~22:00,"주급600,000",35분전
인천 미추홀, 도미노피자 주안점,시간협의,"시급11,000",36분전
인천 미추홀, 도미노피자 주안점,시간협의,"시급11,000",37분전
서울 중랑구, 도미노피자 중랑점,시간협의,"시급12,000",37분전
인천 미추홀, 도미노피자 주안점,시간협의,"시급11,000",38분전
대구 남구, 도미노피자 봉덕점,11:00~22:30,"시급12,000",38분전
인천 미추홀, 도미노피자 주안점,시간협의,"시급11,000",39분전
서울 중랑구, 도미노피자 중랑점,11:30~21:30,"시급9,160",39분전
충북 청주시, 도미노피자 청주용암점,시간협의,"시급11,000",39분전
서울 중랑구, 도미노피자 중랑점,11:30~21:30,"시급9,160",39분전
인천 미추홀, 도미노피자 주안점,시간협의,"시급11,000",40분전
충북 청주시, 도미노피자 청주용암점,시간협의,"시급11,000",42분전
경기 전체, 도미노피자 일산점,시간협의,"주급650,000",47분전
경기 전체, 도미노피자 일산점,시간협의,"주급650,000",47분전
대구 달서구, 도미노피자 상인점,11:00~22:30,"시급11,000",48분전
경기 양주시, 도미노 피자 양주고읍점,시간협의,"주급577,080",51분전
경기 양주시, 도미노 피자 양주고읍점,시간협의,"주급577,080",51분전
경기 양주시, 도미노 피자 양주고읍점,시간협의,"주급577,080",51분전
경기 양주시, 도미노 피자 양주고읍점,시간협의,"주급577,080",51분전
서울 강남구, 도미노피자 위례점,11:30~22:00,"시급9,160",53분전
서울 송파구, 도미노피자 위례점,11:30~22:00,"시급9,160",53분전
경기 성남시, 도미노피자 위례점,11:30~22:00,"시급9,160",53분전
경기 성남시, 도미노피자 위례점,11:30~22:00,"시급9,160",53분전
