place,title,time,pay,date
경기 수원시, 롯데리아 수원권선점,시간협의,"월급2,400,000",1분전
경기 수원시, 롯데리아 수원권선점,시간협의,"월급2,400,000",1분전
경기 수원시, 롯데리아 수원권선점,시간협의,"시급9,160",1분전
경기 수원시, 롯데리아 수원권선점,시간협의,"시급9,160",1분전
경기 수원시, 롯데리아 수원권선점,시간협의,"시급9,160",1분전
서울 영등포, 롯데리아 대방역점,17:00~23:00,"시급9,160",4분전
전국 전체, 롯데리아 대방역점,시간협의,"월급1,920,000",4분전
서울 영등포, 롯데리아 대방역점,17:00~23:00,"시급9,160",4분전
대전 대덕구, 롯데리아 한남대점,시간협의,"시급9,160",8분전
서울 용산구, 롯데리아 숙대입구역점,시간협의,"시급9,160",9분전
서울 용산구, 롯데리아 숙대입구역점,시간협의,"월급2,200,000",10분전
서울 용산구, 롯데리아 숙대입구역점,시간협의,"월급2,200,000",10분전
서울 용산구, 롯데리아 숙대입구역점,시간협의,"시급9,160",11분전
서울 용산구, 롯데리아 숙대입구역점,시간협의,"시급9,160",11분전
경기 수원시, 롯데리아 광교,시간협의,"시급9,160",13분전
경기 평택시, 롯데리아 평택안중점,시간협의,"월급2,400,000",15분전
전북 전체, 롯데리아 전주효자CGV점,10:00~22:00,"시급9,160",20분전
경기 평택시, 롯데리아 평택진위DT점,시간협의,"시급9,160",22분전
충남 천안시, 롯데리아 천안쌍용점,17:00~22:00,"시급9,160",22분전
경기 오산시, 롯데리아 평택진위DT점,시간협의,"시급9,160",22분전
충남 천안시, 롯데리아 천안쌍용점,22:00~01:00,"시급14,000",22분전
충북 청주시, 롯데리아 청주사천점,시간협의,"시급9,160",26분전
충북 청주시, 롯데리아 청주강내점,시간협의,"시급9,160",26분전
서울 관악구, 롯데리아 세이브마트점,10:00~23:00,"시급9,160",26분전
서울 관악구, 롯데리아 세이브마트점,10:00~23:00,"시급9,160",26분전
서울 관악구, 롯데리아 세이브마트점,10:00~23:00,"시급9,160",26분전
전남 나주시, 롯데리아 나주혁신점,시간협의,"시급9,160",26분전
대전 유성구, 롯데리아 대전전민점,10:00~23:00,"시급9,160",29분전
서울 강서구, 롯데리아 까치산역점,시간협의,"시급9,160",30분전
경기 평택시, 롯데리아 평택안중점,시간협의,"월급2,400,000",33분전
부산 부산진, 롯데리아 키즈마트부산점,시간협의,"시급9,160",36분전
서울 구로구, 롯데리아 개봉역점,17:00~23:00,"시급9,160",37분전
서울 구로구, 롯데리아 개봉역점,17:00~23:00,"시급9,160",37분전
대전 유성구, 롯데리아 대전관평점,시간협의,"월급2,300,000",42분전
경기 화성시, 롯데리아 화성발안점,시간협의,"시급9,160",45분전
경기 화성시, 롯데리아 화성발안점,시간협의,"시급9,160",45분전
경기 화성시, 롯데리아 화성발안점,시간협의,"월급2,300,000",45분전
부산 해운대, 롯데리아 부산해운대좌동점,18:00~22:30,"시급9,160",48분전
서울 구로구, 롯데리아 신도림역점,시간협의,"월급2,300,000",51분전
경기 시흥시, 롯데리아 시화거북섬,시간협의,"월급2,300,000",53분전
서울 영등포, 롯데리아 대방역점,17:00~23:00,"시급9,160",54분전
전국 전체, 롯데리아 대방역점,시간협의,"월급1,920,000",54분전
경남 창원시, 롯데리아 창원대동백화점,시간협의,"시급9,160",57분전
충북 청주시, 롯데리아 청주사천점,시간협의,"시급9,160",1시간전
경기 파주시, 롯데리아 문산점,17:00~22:00,"시급9,160",1시간전
충북 청주시, 롯데리아 청주강내점,시간협의,"시급9,160",1시간전
부산 사하구, 롯데리아 부산다대포점,09:00~22:00,"시급9,160",1시간전
경북 구미시, 롯데리아 구미상모점,10:00~22:00,"시급9,160",1시간전
경기 수원시, 롯데리아 망포역점,09:00~24:00,"시급9,160",1시간전
부산 사하구, 롯데리아 부산괴정점,09:00~23:00,"시급9,160",1시간전
