place,title,time,pay,date
서울 영등포, 무인양품(주) IFC몰점,시간협의,"월급1,933,000",2분전
서울 구로구, 무인양품(주) 디큐브점,시간협의,"월급1,933,000",3분전
서울 중구, 무인양품(주) 서울역,시간협의,"월급1,933,000",4분전
서울 종로구, 무인양품(주) 영풍종로점,시간협의,"월급1,933,000",5분전
경기 성남시, 무인양품(주) AK분당점,시간협의,"월급1,933,000",6분전
서울 강남구, 무인양품(주) 파르나스몰점,시간협의,"월급1,933,000",7분전
서울 서초구, 무인양품(주) 서초점,시간협의,"월급1,933,000",8분전
서울 송파구, 무인양품(주) 롯데월드몰점,시간협의,"월급1,933,000",9분전
서울 서대문, 무인양품(주) 신촌점,시간협의,"월급1,933,000",10분전
서울 마포구, 무인양품(주) AK홍대점,시간협의,"월급1,933,000",11분전
서울 송파구, 무인양품(주) 잠실점,시간협의,"월급1,933,000",13분전
경기 용인시, 무인양품(주) 수지점,시간협의,"월급1,933,000",21분전
서울 강남구, 무인양품(주),시간협의,"시급9,250",40분전
서울 강남구, 무인양품(주) 강남점,시간협의,"월급1,933,000",56분전
대전 전체, 무인양품(주) 대전점,12:30~20:30,"시급9,250",2시간전
대전 전체, 무인양품(주) 대전점,시간협의,"월급1,933,000",4시간전
경기 전체, 무인양품(주) 판교점,13:00~21:00,"시급9,250",7시간전
경기 전체, 무인양품(주) 판교점,시간협의,"월급1,933,000",7시간전
대구 북구, 무인양품(주) 대구점,시간협의,"월급1,933,000",8시간전
대구 동구, 무인양품(주) 신세계대구점,시간협의,"월급1,933,000",8시간전
경남 창원시, 무인양품(주) 창원점,시간협의,"월급1,933,000",8시간전
광주 전체, 무인양품(주) 광주점,시간협의,"월급1,933,000",8시간전
경기 하남시, 무인양품(주) 위례점,시간협의,"월급1,933,000",8시간전
경기 하남시, 무인양품(주) 하남점,시간협의,"월급1,933,000",8시간전
경기 고양시, 무인양품(주) 일산점,시간협의,"월급1,933,000",8시간전
대구 북구, 무인양품(주) 대구점,시간협의,"월급1,933,000",04/25
대구 동구, 무인양품(주) 신세계대구점,시간협의,"월급1,933,000",04/25
경남 창원시, 무인양품(주) 창원점,시간협의,"월급1,933,000",04/25
광주 동구, 무인양품(주) 광주점,시간협의,"월급1,933,000",04/25
경기 하남시, 무인양품(주) 위례점,시간협의,"월급1,933,000",04/25
경기 하남시, 무인양품(주) 하남점,시간협의,"월급1,933,000",04/25
경기 고양시, 무인양품(주) 벨라시타점,시간협의,"월급1,933,000",04/25
경기 고양시, 무인양품(주) 일산점,시간협의,"월급1,933,000",04/25
서울 용산구, 무인양품(주) 아이파크몰점,시간협의,"월급1,933,000",04/25
서울 구로구, 무인양품(주) 디큐브점,시간협의,"월급1,933,000",04/25
서울 영등포, 무인양품(주) IFC몰점,시간협의,"월급1,933,000",04/25
서울 중구, 무인양품(주) 서울역,시간협의,"월급1,933,000",04/25
서울 종로구, 무인양품(주) 영풍종로점,시간협의,"월급1,933,000",04/25
경기 성남시, 무인양품(주) AK분당점,시간협의,"월급1,933,000",04/25
서울 강남구, 무인양품(주) 파르나스몰점,시간협의,"월급1,933,000",04/25
서울 송파구, 무인양품(주) 롯데월드몰점,시간협의,"월급1,933,000",04/25
서울 서대문, 무인양품(주) 신촌점,시간협의,"월급1,933,000",04/25
서울 마포구, 무인양품(주) AK홍대점,시간협의,"월급1,933,000",04/25
서울 송파구, 무인양품(주) 잠실점,시간협의,"월급1,933,000",04/25
경기 용인시, 무인양품(주) 수지점,시간협의,"월급1,933,000",04/25
서울 강남구, 무인양품(주) 강남점,시간협의,"월급1,933,000",04/25
대전 전체, 무인양품(주) 대전점,시간협의,"월급1,933,000",04/22
대구 북구, 무인양품(주) 대구점,시간협의,"월급1,933,000",04/19
대구 동구, 무인양품(주) 신세계대구점,시간협의,"월급1,933,000",04/19
경남 창원시, 무인양품(주) 창원점,시간협의,"월급1,933,000",04/19
