place,title,time,pay,date
경기 김포시, 베스킨라빈스김포고촌점,17:00~23:00,"시급11,000",3분전
광주 전체, 비알코리아(주)배스킨라빈스 광주장덕점,시간협의,"시급9,160",5분전
경기 김포시, 베스킨라빈스김포고촌점,17:00~23:00,"시급11,000",6분전
충북 청주시, 배스킨라스빈스 청주테크노폴리스점,시간협의,"시급9,160",9분전
경기 김포시, 베스킨라빈스김포고촌점,17:00~23:00,"시급11,000",17분전
대전 전체, 배스킨라빈스대전산성점,19:00~23:00,"시급9,160",21분전
부산 해운대, 베스킨라빈스,18:00~00:00,"시급10,000",22분전
충북 충주시, 배스킨라빈스 충주국원점,18:00~24:00,"시급9,160",23분전
서울 관악구, 배스킨라빈스 봉천역점,시간협의,"시급9,200",23분전
서울 서초구, 배스킨라빈스 방배역점,18:30~23:00,"시급9,200",24분전
대전 서구, 배스킨라빈스대전가수원점,18:30~23:00,"시급9,160",25분전
서울 강동구, 베스킨라빈스,18:00~23:00,"시급9,160",26분전
서울 관악구, 배스킨라빈스 봉천역점,시간협의,"시급9,200",29분전
서울 서초구, 배스킨라빈스 방배역점,18:30~23:00,"시급9,200",30분전
인천 연수구, 배스킨라빈스 송도퍼스트파크,시간협의,"시급9,160",31분전
서울 성동구, 비알코리아,시간협의,"시급9,160",33분전
경기 화성시, 배스킨라빈스 동탄영천점,10:00~15:00,"시급9,160",33분전
경기 남양주, 배스킨라빈스 별내북부점,시간협의,"시급9,400",33분전
서울 강서구, 배스킨라빈스 까치산역점,09:00~14:00,"시급9,160",34분전
경기 화성시, 배스킨라빈스 동탄영천점,18:00~23:00,"시급9,160",34분전
충북 충주시, 배스킨라빈스연수점,17:00~23:00,"시급9,160",35분전
인천 연수구, 배스킨라빈스 인천송도점,시간협의,"시급9,160",36분전
전남 목포시, 배스킨라빈스 목포용해점,시간협의,"시급9,160",37분전
서울 성동구, 비알코리아,18:00~23:00,"시급9,160",40분전
대구 수성구, 배스킨라빈스 대구만촌네거리,10:00~14:00,"시급9,160",40분전
대구 동구, 베스킨라빈스 이시아폴리스점,18:00~23:00,"시급9,160",41분전
서울 용산구, 비알코리아 서울역점,18:00~23:00,"시급9,160",43분전
서울 서초구, 배스킨라빈스 방배역점,18:30~23:00,"시급9,200",44분전
충북 청주시, 배스킨라빈스31,19:00~23:00,"시급9,160",44분전
서울 관악구, 배스킨라빈스 봉천역점,시간협의,"시급9,200",44분전
서울 도봉구, 배스킨라빈스 방학점,15:00~19:00,"시급9,160",47분전
대구 달서구, 베스킨라빈스 월성네거리점,14:00~19:00,"시급9,160",47분전
경기 남양주, 배스킨라빈스 별내북부점,시간협의,"시급9,400",49분전
서울 강동구, 베스킨라빈스 암사역,시간협의,"시급9,160",50분전
경기 수원시, 배스킨라바스,시간협의,"시급9,160",50분전
인천 남동구, 배스킨라빈스만수시장점,14:00~17:00,"시급9,160",52분전
경기 수원시, 배스킨라바스,10:00~15:00,"시급9,160",52분전
경기 수원시, 배스킨라바스,시간협의,"시급9,160",55분전
대구 수성구, 베스킨라빈스대구수성4가점,19:00~23:00,"시급9,160",59분전
서울 전체, 배스킨라빈스 숭실대점,14:30~23:30,"월급1,600,000",1시간전
경기 오산시, 베스킨라빈스 오산점,18:00~22:00,"시급9,160",1시간전
경기 성남시, 배스킨라빈스위례창곡점,18:00~23:00,"시급9,160",1시간전
서울 구로구, 배스킨라빈스 개봉역사점,17:00~23:00,"시급9,500",1시간전
서울 전체, 배스킨라빈스 숭실대점,16:00~23:30,"시급9,160",1시간전
충남 천안시, 배스킨라빈스 천안봉명점,시간협의,"시급9,200",1시간전
충남 천안시, 배스킨라빈스 천안봉명점,시간협의,"시급9,200",1시간전
서울 강북구, 배스킨라빈스 삼양시장점,11:00~23:00,"시급9,160",1시간전
경기 김포시, 베스킨라빈스김포고촌점,17:00~23:00,"시급10,000",1시간전
경기 안양시, 배스킨라빈스,18:00~23:30,"시급9,160",1시간전
경기 안산시, 배스킨라빈스 송산그린시티점,10:00~17:00,"시급9,160",1시간전
