place,title,time,pay,date
인천 미추홀, 써브웨이 SUBWAY 인천주안역점,16:30~23:00,"시급9,160",1분전
서울 은평구, 써브웨이 응암,08:00~13:00,"시급9,160",1분전
인천 미추홀, 써브웨이 SUBWAY 인천주안역점,17:00~23:30,"시급9,160",1분전
서울 종로구, 써브웨이 서울성균관대점,11:00~14:30,"시급9,160",3분전
서울 은평구, 써브웨이 응암,08:00~15:00,"시급9,160",3분전
부산 강서구, 써브웨이국제신도시점,17:00~22:00,"시급9,160",5분전
울산 남구, 써브웨이 울산 옥동점,08:00~13:30,"시급9,160",10분전
서울 중구, 써브웨이 약수역점,17:00~22:00,"시급9,800",10분전
서울 영등포, 써브웨이kbs본관점,17:00~22:00,"시급9,500",24분전
전남 나주시, 써브웨이 나주혁신점,16:00~22:00,"시급9,160",29분전
경기 성남시, 써브웨이 분당오리,11:00~15:00,"시급9,160",31분전
경기 성남시, 써브웨이 분당오리역점,08:00~14:00,"시급9,160",33분전
울산 남구, 써브웨이 울산 옥동점,15:00~22:00,"시급9,160",35분전
경기 파주시, 써브웨이 파주LGD점,12:00~21:00,"연봉27,000,000",35분전
대구 중구, 써브웨이 대구동성로(2호),10:00~16:00,"시급9,160",39분전
충남 공주시, 써브웨이 공주신관점,07:30~23:30,"시급9,500",40분전
서울 서초구, 써브웨이 방배역,15:00~22:30,"시급9,160",41분전
서울 종로구, SUBWAY(성대점),12:00~15:30,"시급9,160",49분전
서울 종로구, 써브웨이 경복궁,07:30~14:30,"시급9,160",52분전
서울 종로구, SUBWAY(성대점),18:00~22:30,"시급9,160",58분전
충북 청주시, 써브웨이 청주대,08:00~15:00,"시급9,160",1시간전
서울 강남구, 서브웨이 역삼초교점,시간협의,"시급9,200",1시간전
서울 서초구, 써브웨이 방배역,시간협의,"시급9,160",1시간전
서울 전체, 써브웨이 충무로점,시간협의,"시급9,160",1시간전
서울 서대문, 써브웨이 써브웨이 정동점,시간협의,"시급9,160",1시간전
서울 관악구, 써브웨이 서울대점,08:00~15:00,"시급9,200",1시간전
경기 전체, 써브웨이 미금역점,17:30~22:00,"시급9,160",1시간전
경남 창원시, 써브웨이 창원중앙역점,10:00~14:30,"시급9,160",1시간전
서울 종로구, 써브웨이 신당역점,11:00~14:00,"시급11,000",1시간전
서울 동대문, 써브웨이 신당역점,11:00~14:00,"시급11,000",1시간전
서울 중구, 써브웨이 신당역점,11:00~14:00,"시급11,000",1시간전
서울 성북구, 써브웨이 신당역점,11:00~14:00,"시급11,000",1시간전
서울 성동구, 써브웨이 신당역점,11:00~14:00,"시급11,000",1시간전
대전 대덕구, 써브웨이 대전한남대,시간협의,"시급9,160",1시간전
부산 금정구, 써브웨이 부산대점,09:00~13:30,"시급9,160",1시간전
서울 강동구, 써브웨이 길동역점,시간협의,"시급9,160",1시간전
경기 전체, 써브웨이 미금역점,17:30~22:00,"시급9,160",2시간전
서울 구로구, 써브웨이 동양미래대점,07:30~15:00,"시급9,160",2시간전
서울 강남구, 써브웨이 신사점,16:00~23:00,"시급9,200",2시간전
울산 남구, 서브웨이울산삼산점,10:00~15:00,"시급9,160",2시간전
서울 은평구, 써브웨이 응암,시간협의,"시급9,160",2시간전
서울 마포구, 써브웨이 홍대점,12:00~16:00,"시급9,200",2시간전
서울 마포구, 써브웨이 홍대점,16:00~22:00,"시급9,200",2시간전
서울 은평구, 써브웨이 응암,시간협의,"시급9,160",2시간전
서울 관악구, 써브웨이 서울대점,08:00~15:00,"시급9,200",2시간전
서울 관악구, 써브웨이 서울대점,08:00~15:00,"시급9,200",2시간전
서울 전체, 서브웨이 노원점,17:00~22:30,"시급10,500",2시간전
부산 전체, 써브웨이 부산 센텀시티,15:30~22:00,"시급9,160",2시간전
울산 중구, 써브웨이 성남점,18:00~22:30,"시급9,160",2시간전
울산 남구, 써브웨이 울산 달동점,11:00~14:00,"시급9,160",2시간전
