place,title,time,pay,date
경기 평택시, 웅진씽크빅 평택북부지국,시간협의,"월급1,800,000",3분전
충북 충주시, 웅진씽크빅 충주지국,시간협의,"월급1,800,000",3분전
인천 전체, 웅진씽크빅 만수서창지국,시간협의,"월급1,500,000",6분전
인천 전체, 웅진씽크빅 만수서창지국,시간협의,"월급2,000,000",7분전
충북 충주시, 웅진씽크빅 충주지국,시간협의,"월급1,800,000",7분전
인천 전체, 웅진씽크빅 만수서창지국,시간협의,"월급2,000,000",7분전
경기 평택시, 웅진씽크빅 평택북부지국,시간협의,"월급1,800,000",8분전
경남 진주시, 웅진씽크빅 진주충무공지국,13:00~18:00,"월급1,800,000",8분전
경남 진주시, 웅진씽크빅 진주충무공지국,14:00~20:00,"월급1,800,000",8분전
경남 진주시, 웅진씽크빅 진주충무공지국,13:00~18:00,"월급1,800,000",8분전
대구 전체, 웅진씽크빅 대구중남지국,12:00~19:00,"월급1,800,000",10분전
대구 전체, 웅진씽크빅 대구중남지국,12:00~18:00,"월급1,800,000",10분전
대구 전체, 웅진씽크빅 대구중남지국,12:00~19:00,"월급1,800,000",10분전
경북 김천시, 웅진씽크빅 김천지국,시간협의,"월급1,500,000",11분전
경북 김천시, 웅진씽크빅 김천지국,시간협의,"월급2,000,000",11분전
충남 예산군, 웅진씽크빅 예산지국,14:00~20:00,"월급2,000,000",11분전
충남 예산군, 웅진씽크빅 예산지국,14:00~20:00,"월급2,000,000",11분전
충남 예산군, 웅진씽크빅 예산지국,14:00~20:00,"월급2,000,000",11분전
제주 제주시, 웅진씽크빅 제주아라지국,시간협의,"월급1,500,000",11분전
제주 제주시, 웅진씽크빅 제주아라지국,10:00~19:00,"월급1,500,000",12분전
제주 제주시, 웅진씽크빅 제주아라지국,시간협의,"월급1,500,000",12분전
인천 계양구, 웅진씽크빅 동양지국,시간협의,"월급2,000,000",12분전
충북 전체, 웅진씽크빅 청주직지지국,시간협의,"월급1,000,000",13분전
인천 계양구, 웅진씽크빅 동양지국,시간협의,"월급1,800,000",13분전
충북 전체, 웅진씽크빅 청주직지지국,시간협의,"월급1,000,000",13분전
충북 전체, 웅진씽크빅 청주직지지국,시간협의,"월급1,000,000",13분전
인천 계양구, 웅진씽크빅 동양지국,시간협의,"월급1,000,000",13분전
충남 아산시, 웅진씽크빅 배방지국,15:30~20:00,"월급1,500,000",13분전
충남 아산시, 웅진씽크빅 배방지국,시간협의,"월급2,000,000",14분전
충남 아산시, 웅진씽크빅 배방지국,13:00~19:00,"월급1,700,000",15분전
경기 고양시, 웅진씽크빅 일산서부지국,13:00~18:00,"월급2,000,000",16분전
경남 창원시, 웅진씽크빅 창원중부지국,시간협의,"월급1,500,000",16분전
경기 고양시, 웅진씽크빅 일산서부지국,13:00~18:00,"월급2,000,000",16분전
경기 평택시, 웅진씽크빅 평택북부지국,시간협의,"월급1,800,000",16분전
부산 전체, 웅진씽크빅 부산북구지국,14:00~18:00,"월급2,000,000",17분전
경남 창원시, 웅진씽크빅 창원중부지국,시간협의,"월급1,500,000",17분전
경기 고양시, 웅진씽크빅 일산서부지국,13:00~18:00,"월급2,000,000",17분전
대전 동구, 웅진씽크빅 동대전지국,시간협의,"월급1,800,000",17분전
전북 군산시, 웅진씽크빅 군산서부지국,13:00~19:00,"월급2,000,000",17분전
대전 중구, 웅진씽크빅 서대전지국,13:00~21:00,"월급2,000,000",18분전
경남 창원시, 웅진씽크빅 창원중부지국,시간협의,"월급1,500,000",18분전
서울 강서구, 웅진씽크빅 강서마곡지국,13:00~18:00,"월급2,000,000",18분전
대전 중구, 웅진씽크빅 서대전지국,13:00~21:00,"월급2,000,000",19분전
부산 전체, 웅진씽크빅 부산북구지국,14:00~18:00,"월급2,000,000",19분전
서울 강서구, 웅진씽크빅 강서마곡지국,13:00~18:00,"월급2,000,000",19분전
대전 동구, 웅진씽크빅 동대전지국,시간협의,"월급1,800,000",19분전
부산 전체, 웅진씽크빅 부산북구지국,시간협의,"월급2,000,000",19분전
서울 강서구, 웅진씽크빅 강서마곡지국,13:00~18:00,"월급2,000,000",19분전
대전 동구, 웅진씽크빅 동대전지국,시간협의,"월급1,800,000",20분전
대전 중구, 웅진씽크빅 서대전지국,13:00~21:00,"월급2,000,000",20분전
