place,title,time,pay,date
경기 고양시, 유니클로 롯데마트 화정점,시간협의,"연봉2,633,000",19분전
전북 전체, 유니클로 전주 효자점,시간협의,"연봉26,330,000",26분전
전북 전주시, 유니클로 전주 효자점,시간협의,"시급11,160",26분전
부산 수영구, 유니클로 롯데백화점 센텀시티점,시간협의,"시급11,160",28분전
부산 해운대, 유니클로 롯데백화점 센텀시티점,시간협의,"연봉26,330,000",29분전
부산 전체, 유니클로 롯데백화점 광복점,시간협의,"시급11,160",31분전
경기 의정부, 유니클로 신세계백화점 의정부점,시간협의,"시급9,160",31분전
부산 해운대, 유니클로 롯데백화점 센텀시티점,시간협의,"연봉26,330,000",41분전
부산 수영구, 유니클로 롯데백화점 센텀시티점,시간협의,"시급11,160",42분전
경기 전체, 유니클로 안성점,시간협의,"시급9,300",45분전
경기 포천시, 유니클로 포천점,시간협의,"연봉26,330,000",49분전
서울 금천구, 유니클로 마리오몰점,시간협의,"시급9,300",49분전
경기 전체, 유니클로 안성점,시간협의,"시급11,160",49분전
서울 금천구, 유니클로 마리오몰점,시간협의,"연봉26,330,000",50분전
경기 오산시, 유니클로 오산점,시간협의,"시급11,160",51분전
전북 군산시, 유니클로 롯데몰군산점,시간협의,"연봉26,330,000",51분전
경기 오산시, 유니클로 오산점,시간협의,"시급11,160",53분전
경기 포천시, 유니클로 포천점,시간협의,"시급11,160",55분전
경기 포천시, 유니클로 포천점,시간협의,"시급11,160",55분전
서울 마포구, 유니클로 합정 메세나폴리스점,시간협의,"시급11,160",58분전
전남 광양시, 유니클로 LF 스퀘어 광양점,시간협의,"연봉26,330,000",58분전
서울 마포구, 유니클로 합정 메세나폴리스점,시간협의,"연봉26,330,000",58분전
전남 광양시, 유니클로 LF 스퀘어 광양점,시간협의,"시급11,160",59분전
경기 성남시, 유니클로 이마트 성남점,시간협의,"연봉26,330,000",1시간전
경기 성남시, 유니클로 이마트 성남점,시간협의,"시급11,160",1시간전
경남 김해시, 유니클로 롯데마트 장유점,시간협의,"연봉26,330,000",1시간전
경기 성남시, 유니클로 이마트 성남점,시간협의,"시급11,160",1시간전
대구 동구, 유니클로 롯데마트 대구율하점,시간협의,"시급11,160",1시간전
경기 고양시, 유니클로 신세계 스타필드 고양점,시간협의,"시급9,300",1시간전
경기 수원시, 유니클로 롯데몰 수원점,시간협의,"시급11,160",1시간전
경기 수원시, 유니클로 롯데몰 수원점,시간협의,"연봉26,330,000",1시간전
대구 동구, 유니클로 롯데마트 대구율하점,시간협의,"시급11,160",1시간전
제주 제주시, 유니클로 제주 이도점,시간협의,"연봉26,330,000",1시간전
경기 수원시, 유니클로 수원 망포점,시간협의,"연봉26,330,000",1시간전
경기 성남시, 유니클로 롯데백화점 분당점,시간협의,"시급11,160",2시간전
전북 익산시, 유니클로 익산 영등점,시간협의,"시급11,160",2시간전
경기 화성시, 유니클로 이마트 동탄점,시간협의,"시급11,160",2시간전
경북 포항시, 유니클로 포항 장성점,시간협의,"연봉26,330,000",2시간전
경북 포항시, 유니클로 포항 장성점,시간협의,"연봉26,330,000",2시간전
경기 화성시, 유니클로 이마트 동탄점,시간협의,"연봉26,330,000",2시간전
서울 용산구, 유니클로 용산 아이파크몰점,시간협의,"연봉26,330,000",2시간전
서울 용산구, 유니클로 용산 아이파크몰점,시간협의,"시급11,160",2시간전
서울 용산구, 유니클로 용산 아이파크몰점,시간협의,"시급11,160",2시간전
대구 동구, 유니클로 신세계백화점 대구점,시간협의,"시급9,300",2시간전
서울 송파구, 유니클로 현대시티몰 가든파이브점,시간협의,"시급9,300",2시간전
서울 송파구, 유니클로 현대시티몰 가든파이브점,시간협의,"시급11,160",2시간전
서울 송파구, 유니클로 현대시티몰 가든파이브점,시간협의,"시급9,300",2시간전
서울 송파구, 유니클로 현대시티몰 가든파이브점,시간협의,"시급9,300",2시간전
인천 전체, 유니클로 부평역사점,시간협의,"시급11,160",2시간전
서울 송파구, 유니클로 현대시티몰 가든파이브점,시간협의,"연봉26,330,000",2시간전
