place,title,time,pay,date
서울 전체, 파리바게뜨 염창점,17:00~20:30,"시급9,160",4분전
서울 종로구, 파리바게뜨 종로구청점,18:00~22:00,"시급9,160",7분전
경기 평택시, 파리바게뜨 평택더샵센트럴,12:00~17:00,"시급9,160",9분전
경기 남양주, 파리바게뜨 다산아이파크,18:00~23:00,"시급9,160",9분전
충남 아산시, 파리바게뜨 아산스마트점,07:00~11:00,"시급9,160",13분전
강원 원주시, 파리바게뜨 원주롯데캐슬점,17:00~22:00,"시급9,160",22분전
서울 도봉구, 파리바게뜨 쌍문역점,17:00~21:30,"시급9,160",23분전
대구 중구, 파리바게뜨 대구대봉점,11:30~15:00,"시급9,160",24분전
서울 도봉구, 파리바게뜨 쌍문역점,08:00~12:30,"시급9,160",25분전
서울 영등포, 파리바게뜨 여의도점,14:00~21:00,"시급9,160",26분전
인천 전체, 파리바게뜨 석남로데오점,18:00~22:00,"시급9,160",26분전
서울 도봉구, 파리바게뜨 쌍문역점,12:30~17:00,"시급9,160",26분전
강원 원주시, 파리바게뜨 원주롯데캐슬점,07:00~12:00,"시급9,160",27분전
서울 서초구, 파리바게뜨 서초참누리점,15:00~22:00,"시급9,160",28분전
서울 영등포, 파리바게뜨 신길대신점,17:00~23:00,"시급9,160",29분전
경기 평택시, 파리바게뜨 평택용죽,시간협의,"시급9,160",29분전
서울 강남구, 파리바게뜨 뱅뱅사거리점,15:00~22:00,"시급9,160",29분전
경기 평택시, 파리바게뜨 평택힐맘시티점,시간협의,"시급9,160",29분전
전국 전체, 파리바게뜨 삼성카페점,07:30~22:00,"시급11,500",30분전
경기 고양시, 파리바게뜨 일산동국대병원점,시간협의,"시급9,160",30분전
서울 강남구, 파리바게뜨 삼성카페점,07:30~22:00,"시급11,500",30분전
서울 전체, 파리바게뜨 삼성카페점,07:30~22:00,"시급11,500",30분전
서울 서대문, 파리바게뜨 신촌2호점,09:00~14:00,"시급9,160",34분전
전북 남원시, 파리바게뜨 남원향교점,17:00~21:00,"시급9,160",35분전
경기 양주시, 파리바게뜨 양주고읍세진점,07:00~14:00,"시급9,160",35분전
서울 영등포, 파리바게뜨 영등포사러가점,07:00~12:00,"시급9,160",35분전
울산 북구, 파리바게뜨 울산양정점,12:00~18:00,"시급9,160",37분전
경북 포항시, 파리바게뜨 포항오거리점,07:00~12:30,"시급9,160",44분전
서울 은평구, 파리바게뜨 서오릉점,07:30~13:00,"시급9,160",45분전
서울 은평구, 파리바게뜨 서오릉점,19:00~23:30,"시급9,160",46분전
세종 새롬동, 파리바게뜨 세종새롬점,시간협의,"시급9,200",49분전
경기 파주시, 파리바게뜨 운정야당점,18:00~22:00,"시급9,160",49분전
경기 파주시, 파리바게뜨 야당역점,시간협의,"시급9,160",50분전
경기 고양시, 파리바게뜨 탄현큰마을점,08:00~14:00,"시급9,160",50분전
경기 양주시, 파리바게뜨 양주옥정대림,07:00~12:00,"시급9,160",50분전
경기 부천시, 파리바게뜨 카톨릭대점,시간협의,"시급9,160",51분전
서울 은평구, 파리바게뜨 은평구청점,07:30~12:30,"시급9,160",52분전
인천 계양구, 파리바게뜨 박촌점,12:00~18:00,"시급9,160",54분전
서울 강남구, 파리바게뜨 뱅뱅사거리점,15:00~22:00,"시급9,160",54분전
서울 전체, 파리바게뜨 역삼역점,07:00~11:00,"시급9,160",55분전
서울 용산구, 파리바게뜨 이태원경리단점,09:00~13:00,"시급9,160",58분전
서울 용산구, 파리바게뜨 이태원경리단점,09:00~13:00,"시급9,160",1시간전
서울 전체, 파리바게뜨 역삼역점,07:00~11:00,"시급9,160",1시간전
경기 남양주, 파리바게뜨 다산이편한점,13:00~17:00,"시급9,160",1시간전
부산 연제구, 파리바게뜨 부산교대점,07:30~13:30,"시급9,160",1시간전
강원 강릉시, 파리바게뜨 강릉송정점,08:30~12:00,"시급9,200",1시간전
강원 강릉시, 파리바게뜨 강릉송정점,08:30~11:30,"시급9,200",1시간전
서울 용산구, 파리바게뜨 이태원경리단점,09:00~13:00,"시급9,160",1시간전
서울 영등포, 파리바게뜨 신풍역점,14:00~20:00,"시급9,160",1시간전
전북 전주시, 파리바게뜨 전주삼익점,07:00~12:00,"시급9,160",1시간전
