place,title,time,pay,date
부산 강서구, 프레드피자  부산 명지점,17:00~01:00,"시급9,160",6분전
울산 남구, 프레드피자  울산 무거점,17:00~21:00,"시급9,160",8분전
울산 남구, 프레드피자  울산 무거점,17:00~21:00,"시급9,160",35분전
부산 강서구, 프레드피자  부산 명지점,17:00~01:00,"시급9,160",37분전
부산 부산진, 프레드피자  부산 서면점,시간협의,"월급2,850,000",2시간전
부산 부산진, 프레드피자  부산 서면점,시간협의,"시급10,000",2시간전
울산 남구, 프레드피자  울산 무거점,17:00~21:00,"시급9,160",2시간전
부산 강서구, 프레드피자  부산 명지점,17:00~01:00,"시급9,160",2시간전
부산 영도구, 프레드피자 부산 영도점,17:30~02:30,"시급9,200",5시간전
경기 김포시, 프레드피자  김포 한강신도시점,시간협의,"시급9,500",5시간전
부산 영도구, 프레드피자 부산 영도점,17:30~02:30,"시급9,200",6시간전
부산 남구, 프레드피자  부산 대연점,10:30~18:30,"시급9,160",04/24
부산 남구, 프레드피자  부산 대연점,10:30~18:30,"시급9,160",04/24
부산 남구, 프레드피자  부산 대연점,10:30~18:30,"시급9,160",04/24
부산 남구, 프레드피자  부산 대연점,10:30~18:30,"시급9,160",04/24
부산 남구, 프레드피자  부산 대연점,10:30~18:30,"시급9,160",04/24
서울 구로구, 프레드피자 서울구로점,시간협의,"시급9,500",04/24
서울 구로구, 프레드피자 서울구로점,시간협의,"시급9,500",04/24
서울 구로구, 프레드피자 서울구로점,시간협의,"시급9,500",04/24
서울 구로구, 프레드피자 서울구로점,시간협의,"시급9,500",04/24
제주 제주시, 프레드피자  제주점,15:30~03:30,"월급2,750,000",04/24
제주 제주시, 프레드피자  제주점,15:30~03:30,"월급2,750,000",04/24
제주 제주시, 프레드피자  제주점,15:30~03:30,"월급2,750,000",04/24
제주 제주시, 프레드피자  제주점,15:30~03:30,"월급2,750,000",04/24
제주 제주시, 프레드피자  제주점,15:30~03:30,"월급2,750,000",04/24
경기 수원시, 프레드피자  수원 시청점,11:00~04:00,"시급9,160",04/24
서울 강북구, 프레드피자  서울 강북구점,시간협의,"시급10,500",04/22
부산 부산진, 프레드피자  부산 서면점,시간협의,"시급10,000",04/20
부산 부산진, 프레드피자  부산 서면점,시간협의,"월급2,850,000",04/20
부산 부산진, 프레드피자  부산 서면점,시간협의,"월급2,850,000",04/20
서울 구로구, 프레드피자 서울구로점,시간협의,"시급9,500",04/19
