place,title,time,pay,date
경기 수원시, 할리스커피 수원망포점,10:30~14:00,"시급9,160",8분전
광주 북구, 할리스커피 광주북구청점,17:00~23:00,"시급9,160",8분전
서울 은평구, 할리스커피 구산역점,18:00~23:00,"시급9,160",8분전
광주 북구, 할리스커피 광주북구청점,08:00~15:00,"시급9,160",8분전
경기 성남시, 할리스커피 성남터미널점,18:00~22:30,"시급9,160",15분전
서울 마포구, 할리스커피 합정역점,18:00~23:00,"시급9,160",16분전
부산 동래구, 할리스커피 부산명륜자이점,시간협의,"시급9,160",18분전
광주 서구, 할리스커피 유스퀘어CGV점,12:00~05:00,"시급9,160",19분전
서울 종로구, 할리스커피 센터포인트점,시간협의,"시급9,160",19분전
서울 마포구, 할리스커피 합정역점,18:00~23:00,"시급9,160",19분전
충북 청주시, 할리스커피 충북옥천점,12:00~21:00,"월급1,914,440",21분전
부산 동래구, 할리스커피 부산명륜자이점,14:00~23:00,"월급2,000,000",22분전
부산 수영구, 할리스커피 부산광안해변점,21:00~24:00,"시급9,160",22분전
충남 금산군, 할리스커피 충북옥천점,12:00~21:00,"월급1,914,440",23분전
서울 종로구, 할리스커피 센터포인트점,19:30~23:00,"시급9,160",23분전
대전 유성구, 할리스커피 대전도안DT점,09:00~18:00,"시급9,160",24분전
서울 중구, 할리스커피 명동퍼시픽호텔점,12:00~17:00,"시급9,160",24분전
대전 전체, 할리스커피 충북옥천점,12:00~21:00,"월급1,914,440",25분전
경기 화성시, 할리스커피 할리스 제부도점,시간협의,"시급9,160",25분전
부산 동래구, 할리스커피 부산동래역점,18:00~02:30,"시급9,160",25분전
경기 화성시, 할리스커피 할리스 제부도점,시간협의,"시급9,160",26분전
충북 옥천군, 할리스커피 충북옥천점,12:00~21:00,"월급1,914,440",26분전
전북 전주시, 할리스커피 전북도청점,12:00~15:00,"시급9,160",27분전
서울 강서구, 할리스커피 마곡나인스퀘어점,13:00~21:00,"월급2,100,000",27분전
서울 전체, 할리스커피 충무로역점,시간협의,"시급9,500",30분전
경북 구미시, 할리스커피 구미금오산점,19:00~24:00,"시급9,160",31분전
경남 창원시, 할리스커피 창원팔용점,18:00~23:00,"시급9,160",31분전
인천 부평구, 할리스커피 부평로데오점,18:30~23:00,"시급9,160",31분전
인천 부평구, 할리스커피 부평로데오점,18:30~23:00,"시급9,160",31분전
서울 전체, 할리스커피 충무로역점,17:00~22:00,"시급9,500",34분전
서울 마포구, 할리스커피 홍대입구역점,시간협의,"시급9,160",37분전
서울 중구, 할리스커피 충무로역점,09:00~15:00,"시급9,500",38분전
경기 화성시, 할리스커피 동탄점,시간협의,"시급9,200",42분전
세종 전체, 할리스커피 세종가람DT점,시간협의,"월급2,000,000",44분전
경기 양주시, 할리스커피 양주삼숭DI점,11:00~16:00,"시급9,200",47분전
전북 전주시, 할리스커피 전북도청점,19:00~23:00,"시급9,160",50분전
충북 청주시, 할리스커피 청주명암레이크점,시간협의,"월급2,000,000",1시간전
인천 남동구, 할리스커피 인천구월로데오점,시간협의,"시급9,160",1시간전
충북 청주시, 할리스커피 청주명암레이크점,19:00~23:00,"시급9,160",1시간전
전북 익산시, 할리스커피 익산어양점,시간협의,"시급9,160",1시간전
강원 속초시, 할리스커피 속초영랑해변점,11:00~17:00,"시급9,160",1시간전
서울 서초구, 할리스커피 교대역점,20:30~23:00,"시급9,160",1시간전
광주 북구, 할리스커피 광주북구청점,17:00~23:00,"시급9,160",1시간전
경기 하남시, 할리스커피 미사효성해링턴점,시간협의,"월급2,300,000",1시간전
경기 부천시, 할리스커피 부천송내본점,시간협의,"시급9,160",1시간전
서울 양천구, 할리스커피 목동예술인회관점,시간협의,"시급9,160",1시간전
서울 마포구, 할리스커피 홍대역2번출구점,20:00~24:00,"시급9,160",1시간전
부산 부산진, 할리스커피 부산서면본점,시간협의,"시급9,160",1시간전
서울 마포구, 할리스커피 홍대역2번출구점,시간협의,"월급1,950,000",1시간전
경기 부천시, 할리스커피 부천송내본점,12:00~18:00,"시급9,160",1시간전
